t,px,py,pz,vx,vy,vz,bax,bay,baz,wx,wy,wz,sigma_px,sigma_py,sigma_pz,sigma_vx,sigma_vy,sigma_vz,sigma_bax,sigma_bay,sigma_baz,sigma_wx,sigma_wy,sigma_wz,gps_used,gps_rejected,innovation_pos_norm,innovation_vel_norm
18.16,203.187986905787,-178.13261398547,-815.095290854911,7.33113375552085,-9.88308678215471,-53.536124123314,0,0,0,0,0,0,124.419842295522,124.419842295522,124.419842295522,10.5601155821705,10.5601155821705,10.5601155821705,0.51610270295748,0.51610270295748,0.51610270295748,3.11884594040807,3.11884594040807,3.11884594040807,0,0,NaN,NaN
18.18,203.334498555418,-178.330294718894,-816.165981625444,7.32003120755902,-9.88498656019387,-53.5329529299346,0,0,0,0,0,0,124.618526835908,124.618526835908,124.618526835908,10.5691149266152,10.5691149266152,10.5691149266152,0.516120141052465,0.516120141052465,0.516120141052465,3.11897419033886,3.11897419033886,3.11897419033886,0,0,NaN,NaN
18.2,203.480787573336,-178.527986377229,-817.236606305223,7.3088705842358,-9.88417927333789,-53.5295150479388,0,0,0,0,0,0,124.81738838043,124.81738838043,124.81738838043,10.5781166873882,10.5781166873882,10.5781166873882,0.516137578558291,0.516137578558291,0.516137578558291,3.11910243499631,3.11910243499631,3.11910243499631,0,0,NaN,NaN
18.22,203.626853742281,-178.725671657505,-818.307163734339,7.29774631023707,-9.88434875429981,-53.5262278636941,0,0,0,0,0,0,125.016426994035,125.016426994035,125.016426994035,10.587120859006,10.587120859006,10.587120859006,0.516155015475018,0.516155015475018,0.516155015475018,3.11923067438109,3.11923067438109,3.11923067438109,0,0,NaN,NaN
18.24,203.772699423512,-178.923353223825,-819.37766204483,7.28682181291131,-9.88380787767183,-53.5236031854422,0,0,0,0,0,0,125.215642741526,125.215642741526,125.215642741526,10.5961274360023,10.5961274360023,10.5961274360023,0.516172451802706,0.516172451802706,0.516172451802706,3.11935890849385,3.11935890849385,3.11935890849385,0,0,NaN,NaN
18.26,203.918327649079,-179.121034858473,-820.448105655762,7.27600074374697,-9.88435558711078,-53.5207579077097,0,0,0,0,0,0,125.415035687566,125.415035687566,125.415035687566,10.6051364129275,10.6051364129275,10.6051364129275,0.516189887541413,0.516189887541413,0.516189887541413,3.11948713733523,3.11948713733523,3.11948713733523,0,0,NaN,NaN
18.28,204.063728463367,-179.31871438489,-821.518490313054,7.26408068509811,-9.88359705461102,-53.5177078214745,0,0,0,0,0,0,125.614605896675,125.614605896675,125.614605896675,10.614147784349,10.614147784349,10.614147784349,0.5162073226912,0.5162073226912,0.5162073226912,3.11961536090588,3.11961536090588,3.11961536090588,0,0,NaN,NaN
18.3,204.208888717404,-179.51637678177,-822.588821554271,7.25194471861897,-9.88264263342606,-53.5154163002291,0,0,0,0,0,0,125.814353433228,125.814353433228,125.814353433228,10.623161544851,10.623161544851,10.623161544851,0.516224757252126,0.516224757252126,0.516224757252126,3.11974357920646,3.11974357920646,3.11974357920646,0,0,NaN,NaN
18.32,204.353797458275,-179.714028580981,-823.659115897764,7.23892936850671,-9.88253728760381,-53.5140180490623,0,0,0,0,0,0,126.014278361464,126.014278361464,126.014278361464,10.6321776890344,10.6321776890344,10.6321776890344,0.516242191224251,0.516242191224251,0.516242191224251,3.11987179223761,3.11987179223761,3.11987179223761,0,0,NaN,NaN
18.34,204.498457539694,-179.911687984144,-824.729370926181,7.22707877331976,-9.88340302876773,-53.5114847926896,0,0,0,0,0,0,126.214380745476,126.214380745476,126.214380745476,10.6411962115169,10.6411962115169,10.6411962115169,0.516259624607635,0.516259624607635,0.516259624607635,3.11999999999999,3.11999999999999,3.11999999999999,0,0,NaN,NaN
18.36,204.642872702223,-180.109343972884,-825.799558212976,7.21443747960969,-9.88219584520167,-53.5072438867758,0,0,0,0,0,0,126.414660649218,126.414660649218,126.414660649218,10.6502171069327,10.6502171069327,10.6502171069327,0.516277057402338,0.516277057402338,0.516277057402338,3.12012820249424,3.12012820249424,3.12012820249424,0,0,NaN,NaN
18.38,204.787042472001,-180.306989253698,-826.869689272598,7.20253949818094,-9.88233223613663,-53.5058620754673,0,0,0,0,0,0,126.615118136502,126.615118136502,126.615118136502,10.6592403699326,10.6592403699326,10.6592403699326,0.516294489608418,0.516294489608418,0.516294489608418,3.12025639972101,3.12025639972101,3.12025639972101,0,0,NaN,NaN
18.4,204.93095913148,-180.504637393568,-827.939783347252,7.18912644976649,-9.88248175087797,-53.503545389892,0,0,0,0,0,0,126.815753271002,126.815753271002,126.815753271002,10.6682659951841,10.6682659951841,10.6682659951841,0.516311921225935,0.516311921225935,0.516311921225935,3.12038459168095,3.12038459168095,3.12038459168095,0,0,NaN,NaN
18.42,205.074621935496,-180.702297517102,-829.009825452415,7.17715395181798,-9.88353060251867,-53.5006651264089,0,0,0,0,0,0,127.016566116249,127.016566116249,127.016566116249,10.6772939773709,10.6772939773709,10.6772939773709,0.51632935225495,0.51632935225495,0.51632935225495,3.12051277837472,3.12051277837472,3.12051277837472,0,0,NaN,NaN
18.44,205.218031167301,-180.899959705577,-830.079823454976,7.16376922870262,-9.88268824501446,-53.4991351296464,0,0,0,0,0,0,127.217556735635,127.217556735635,127.217556735635,10.6863243111933,10.6863243111933,10.6863243111933,0.516346782695522,0.516346782695522,0.516346782695522,3.12064095980296,3.12064095980296,3.12064095980296,0,0,NaN,NaN
18.46,205.361172284591,-181.09762776116,-831.149787797623,7.15034250024958,-9.88411731332657,-53.4972991351287,0,0,0,0,0,0,127.418725192413,127.418725192413,127.418725192413,10.6953569913678,10.6953569913678,10.6953569913678,0.51636421254771,0.51636421254771,0.51636421254771,3.12076913596631,3.12076913596631,3.12076913596631,0,0,NaN,NaN
